name,price,rr
"vivo V27 5G (Magic Blue, 128 GB)","₹32,999","1,831 Ratings & 182 Reviews"
"vivo V27 5G (Noble Black, 128 GB)","₹32,999","1,831 Ratings & 182 Reviews"
SAMSUNG Guru Music 2,"₹2,098","2,01,028 Ratings & 18,561 Reviews"
Cellecor E3,"₹1,176",28 Ratings & 1 Reviews
SAMSUNG GURU MUSIC 2,"₹2,094","3,548 Ratings & 278 Reviews"
"REDMI A1 (Black, 32 GB)","₹6,278","5,426 Ratings & 256 Reviews"
"APPLE iPhone 11 (White, 64 GB)","₹38,999","1,88,775 Ratings & 10,984 Reviews"
"POCO C31 (Shadow Gray, 32 GB)","₹6,499","1,39,540 Ratings & 8,817 Reviews"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹16,999","1,73,686 Ratings & 13,586 Reviews"
"MOTOROLA g73 5G (Lucent White, 128 GB)","₹18,999","2,680 Ratings & 331 Reviews"
"POCO M4 5G (Yellow, 128 GB)","₹14,999","30,908 Ratings & 2,307 Reviews"
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹16,999","1,73,686 Ratings & 13,586 Reviews"
Nokia 150 TA-1235 DS,"₹2,499","12,650 Ratings & 911 Reviews"
"MOTOROLA g72 (Polar Blue, 128 GB)","₹14,999","12,331 Ratings & 1,649 Reviews"
"APPLE iPhone 11 (Black, 128 GB)","₹44,999","1,88,775 Ratings & 10,984 Reviews"
"REDMI 10A (Slate grey, 64 GB)","₹8,635","7,539 Ratings & 423 Reviews"
"REDMI 10 (Pacific Blue, 128 GB)","₹11,999","27,670 Ratings & 1,943 Reviews"
"Infinix Hot 20 5G (Space Blue, 128 GB)","₹13,499","2,289 Ratings & 195 Reviews"
"REDMI 10A (Slate Grey, 32 GB)","₹8,399","2,198 Ratings & 141 Reviews"
"POCO X5 5G (Supernova Green, 128 GB)","₹17,999",602 Ratings & 32 Reviews
"POCO X5 Pro 5G (Yellow, 256 GB)","₹24,999","3,491 Ratings & 379 Reviews"
"REDMI 10 (Caribbean Green, 64 GB)","₹9,999","2,06,540 Ratings & 12,967 Reviews"
SAMSUNG Guru Music 2,"₹2,098","2,01,028 Ratings & 18,561 Reviews"
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹76,999","7,267 Ratings & 473 Reviews"
"REDMI 10A (Charcoal Black, 64 GB)","₹8,671","7,539 Ratings & 423 Reviews"
"realme C33 (Night Sea, 64 GB)","₹9,999","63,395 Ratings & 2,776 Reviews"
"realme C33 (Sandy Gold, 64 GB)","₹9,999","63,395 Ratings & 2,776 Reviews"
Cellecor E3,"₹1,176",28 Ratings & 1 Reviews
"MOTOROLA g82 5G (Meterorite Grey, 128 GB)","₹20,999","5,162 Ratings & 615 Reviews"
"REDMI 10 Power (Power Black, 128 GB)","₹11,748","1,190 Ratings & 58 Reviews"
"realme C33 (Night Sea, 32 GB)","₹8,999","21,417 Ratings & 886 Reviews"
"realme C33 (Sandy Gold, 32 GB)","₹8,999","21,417 Ratings & 886 Reviews"
"realme 10 Pro+ 5G (Nebula Blue, 256 GB)","₹27,999","6,880 Ratings & 734 Reviews"
"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999","13,773 Ratings & 1,389 Reviews"
"POCO M4 Pro (Cool Blue, 128 GB)","₹14,999","15,262 Ratings & 1,310 Reviews"
LAVA A3,"₹1,259","19,439 Ratings & 2,132 Reviews"
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹19,333","53,549 Ratings & 3,987 Reviews"
"Infinix Note 12 Pro 5G (Snowfall, 128 GB)","₹16,999","22,096 Ratings & 2,640 Reviews"
"Infinix Note 12 Pro 5G (Force Black, 128 GB)","₹16,999","22,096 Ratings & 2,640 Reviews"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹6,999","1,347 Ratings & 112 Reviews"
"realme Narzo 50 (Speed Black, 64 GB)","₹12,490","16,603 Ratings & 1,066 Reviews"
Nokia 105SS PLUS,"₹1,415","1,426 Ratings & 87 Reviews"
"OPPO A17 (Midnight Black, 64 GB)","₹12,499","3,325 Ratings & 127 Reviews"
"POCO X5 Pro 5G (Astral Black, 128 GB)","₹22,999","3,428 Ratings & 380 Reviews"
GFive U707,₹749,"11,264 Ratings & 1,040 Reviews"
"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹22,999","3,428 Ratings & 380 Reviews"
"Infinix NOTE 12i (Alpine White, 64 GB)","₹10,499","3,106 Ratings & 334 Reviews"
"realme C33 (Aqua Blue, 32 GB)","₹8,999","21,417 Ratings & 886 Reviews"
"REDMI 10 (Caribbean Green, 128 GB)","₹11,999","27,670 Ratings & 1,943 Reviews"
itel It2171,₹999,"4,592 Ratings & 388 Reviews"
"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹27,999","5,830 Ratings & 587 Reviews"
"realme Narzo 50 (Speed Blue, 64 GB)","₹12,499","16,603 Ratings & 1,066 Reviews"
"realme Narzo 50 (Speed Black, 128 GB)","₹13,499","8,061 Ratings & 580 Reviews"
"POCO M4 Pro (Yellow, 128 GB)","₹12,999","1,59,420 Ratings & 14,164 Reviews"
"POCO X5 Pro 5G (Horizon Blue, 256 GB)","₹24,999","3,491 Ratings & 379 Reviews"
Micromax X412,₹940,"15,330 Ratings & 1,306 Reviews"
Micromax X412,₹964,"15,330 Ratings & 1,306 Reviews"
Nokia 150 DS 2020,"₹2,499","21,839 Ratings & 1,686 Reviews"
"MOTOROLA g82 5G(White Lily, 128 GB)","₹19,999","7,913 Ratings & 984 Reviews"
"OPPO A17 (Sunlight Orange, 64 GB)","₹12,499","3,325 Ratings & 127 Reviews"
"REDMI 10A (Sea Blue, 64 GB)","₹8,638","7,539 Ratings & 423 Reviews"
Kechaoda K112,"₹1,589","20,492 Ratings & 2,136 Reviews"
"SAMSUNG Galaxy S22 Plus 5G (Phantom Black, 128 GB)","₹59,999","2,597 Ratings & 291 Reviews"
GFive U873,₹749,"9,044 Ratings & 771 Reviews"
"Micromax IN 2C (Silver, 32 GB)","₹5,999","4,079 Ratings & 440 Reviews"
itel It2171,₹999,"4,592 Ratings & 388 Reviews"
"REDMI 10 Power (Sporty Orange, 128 GB)","₹11,733","1,190 Ratings & 58 Reviews"
"SAMSUNG Galaxy M33 5G (Emarld Brown, 128 GB)","₹15,999","8,493 Ratings & 659 Reviews"
GFive U707,₹749,"11,264 Ratings & 1,040 Reviews"
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999","6,880 Ratings & 734 Reviews"
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999","6,880 Ratings & 734 Reviews"
"POCO M4 Pro (Power Black, 128 GB)","₹14,999","15,262 Ratings & 1,310 Reviews"
"Google Pixel 6a (Chalk, 128 GB)","₹28,999","34,403 Ratings & 4,179 Reviews"
"Google Pixel 6a (Charcoal, 128 GB)","₹28,999","34,403 Ratings & 4,179 Reviews"
"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹24,999","15,882 Ratings & 1,497 Reviews"
Cellecor E3,"₹1,176",28 Ratings & 1 Reviews
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹24,999","15,882 Ratings & 1,497 Reviews"
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999","15,882 Ratings & 1,497 Reviews"
"OPPO A17K (Navy Blue, 64 GB)","₹9,475","2,382 Ratings & 58 Reviews"
GFive U873,₹749,"9,044 Ratings & 771 Reviews"
"Infinix NOTE 12i (Metaverse Blue, 64 GB)","₹10,499","3,106 Ratings & 334 Reviews"
SAMSUNG Guru Music 2,"₹2,140","2,01,028 Ratings & 18,561 Reviews"
LAVA A1 Josh 2021,"₹1,089","7,973 Ratings & 672 Reviews"
"MOTOROLA g72 (Meteorite Grey, 128 GB)","₹14,999","12,331 Ratings & 1,649 Reviews"
SAMSUNG Guru Music 2,"₹2,160","2,01,028 Ratings & 18,561 Reviews"
"Micromax IN 2C (Brown, 32 GB)","₹5,999","4,079 Ratings & 440 Reviews"
"REDMI 10A (Sea Blue, 32 GB)","₹10,374","2,198 Ratings & 141 Reviews"
Micromax J22,"₹1,187",410 Ratings & 32 Reviews
"REDMI Note 11S (Polar White, 128 GB)","₹17,470","1,213 Ratings & 103 Reviews"
"REDMI 9i Sport (Carbon Black, 64 GB)","₹7,699","2,46,927 Ratings & 14,478 Reviews"
"OPPO A17 (Lake Blue, 64 GB)","₹12,490","3,325 Ratings & 127 Reviews"
LAVA Hero 600i,₹910,312 Ratings & 23 Reviews
"realme 9i 5G (Metallica Gold, 64 GB)","₹14,999","43,577 Ratings & 2,078 Reviews"
"realme 9i 5G (Rocking Black, 64 GB)","₹14,999","43,577 Ratings & 2,078 Reviews"
"MOTOROLA G32 (Satin Silver, 64 GB)","₹10,499","32,862 Ratings & 3,079 Reviews"
"SAMSUNG Galaxy S22 Plus 5G (Green, 128 GB)","₹59,999","2,597 Ratings & 291 Reviews"
Micromax X512,"₹1,150","10,093 Ratings & 911 Reviews"
